"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 15 01:50:18 GMT 2021","Wed Sep 15 01:50:19 GMT 2021","1446","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testChannelIsNotEmpty","testChannelIsNotEmpty",""
"passed","Wed Sep 15 01:50:29 GMT 2021","Wed Sep 15 01:50:29 GMT 2021","37","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testTransactionIdIsNotEmpty","testTransactionIdIsNotEmpty",""
"passed","Wed Sep 15 01:50:29 GMT 2021","Wed Sep 15 01:50:29 GMT 2021","42","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testTypeIsNotEmpty","testTypeIsNotEmpty",""
"passed","Wed Sep 15 01:50:19 GMT 2021","Wed Sep 15 01:50:19 GMT 2021","40","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testMerchantCategoryCodeIsNotEmpty","testMerchantCategoryCodeIsNotEmpty",""
"passed","Wed Sep 15 01:50:19 GMT 2021","Wed Sep 15 01:50:29 GMT 2021","9734","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testSuccessTransaction","testSuccessTransaction",""
