"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 16 01:56:33 GMT 2021","Thu Sep 16 01:56:35 GMT 2021","1580","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testChannelIsNotEmpty","testChannelIsNotEmpty",""
"passed","Thu Sep 16 01:56:35 GMT 2021","Thu Sep 16 01:56:35 GMT 2021","34","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testMerchantCategoryCodeIsNotEmpty","testMerchantCategoryCodeIsNotEmpty",""
"passed","Thu Sep 16 01:56:43 GMT 2021","Thu Sep 16 01:56:43 GMT 2021","15","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testTransactionIdIsNotEmpty","testTransactionIdIsNotEmpty",""
"passed","Thu Sep 16 01:56:43 GMT 2021","Thu Sep 16 01:56:43 GMT 2021","14","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testTypeIsNotEmpty","testTypeIsNotEmpty",""
"passed","Thu Sep 16 01:56:35 GMT 2021","Thu Sep 16 01:56:43 GMT 2021","8370","SHAFT: Custom Suite","SHAFT: Custom Test","api.transactions.tests.TransactionTest","api.transactions.tests.TransactionTest","testSuccessTransaction","testSuccessTransaction",""
